Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",24.3,"(+/- 2.8 )",14.5,"(+/- 2.7 )",6.0,"(+/- 1.6 )",18.3,"(+/- 2.3 )",17.6,"(+/- 2.3 )",15.6,"(+/- 2.8 )",19.6,"(+/- 3.8 )",13.4,"(+/- 2.2 )",27.5,"(+/- 3.4 )",10.1,"(+/- 2.3 )",17.0,"(+/- 2.9 )",13.6,"(+/- 2.6 )",18.7,"(+/- 2.1 )",20.1,"(+/- 3.2 )",36.3,"(+/- 3.1 )",28.7,"(+/- 3.7 )",22.0,"(+/- 2.4 )",32.8,"(+/- 3.6 )",20.6,"(+/- 2.7 )",24.6,"(+/- 3.2 )",12.5,"(+/- 2.6 )",10.6,"(+/- 2.3 )",24.6,"(+/- 3.1 )",10.4,"(+/- 2.5 )",13.0,"(+/- 2.1 )",7.2,"(+/- 1.7 )",21.6,"(+/- 3.0 )",33.6,"(+/- 2.9 )",34.4,"(+/- 3.7 )",28.2,"(+/- 3.5 )",11.8,"(+/- 2.2 )",17.4,"(+/- 3.2 )",31.1,"(+/- 3.8 )",40.4,"(+/- 3.8 )",28.5,"(+/- 3.8 )",20.0,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",24.1,"(+/- 2.8 )",14.0,"(+/- 2.7 )",5.8,"(+/- 1.5 )",17.9,"(+/- 2.3 )",17.5,"(+/- 2.3 )",15.3,"(+/- 2.8 )",19.4,"(+/- 3.8 )",13.2,"(+/- 2.2 )",27.4,"(+/- 3.4 )",9.7,"(+/- 2.3 )",16.5,"(+/- 3.0 )",13.2,"(+/- 2.6 )",18.3,"(+/- 2.2 )",19.5,"(+/- 3.1 )",36.2,"(+/- 3.2 )",28.5,"(+/- 3.7 )",21.8,"(+/- 2.5 )",32.7,"(+/- 3.7 )",20.4,"(+/- 2.7 )",24.2,"(+/- 3.2 )",12.1,"(+/- 2.7 )",10.5,"(+/- 2.3 )",24.2,"(+/- 3.2 )",10.3,"(+/- 2.5 )",12.8,"(+/- 2.1 )",6.8,"(+/- 1.7 )",21.2,"(+/- 3.0 )",33.6,"(+/- 2.9 )",34.2,"(+/- 3.7 )",28.1,"(+/- 3.5 )",11.7,"(+/- 2.2 )",17.4,"(+/- 3.2 )",30.9,"(+/- 3.8 )",40.0,"(+/- 3.7 )",28.1,"(+/- 3.7 )",19.8,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",28.0,"(+/- 5.2 )",15.7,"(+/- 4.2 )",8.4,"(+/- 3.3 )",14.3,"(+/- 3.0 )",20.9,"(+/- 3.5 )",19.6,"(+/- 4.7 )",22.9,"(+/- 5.4 )",13.6,"(+/- 3.3 )",30.4,"(+/- 5.0 )",10.9,"(+/- 3.2 )",17.2,"(+/- 3.8 )",12.6,"(+/- 3.5 )",18.8,"(+/- 2.8 )",18.2,"(+/- 4.6 )",39.1,"(+/- 5.3 )",28.8,"(+/- 5.4 )",24.6,"(+/- 4.1 )",35.8,"(+/- 5.2 )",21.5,"(+/- 4.5 )",26.4,"(+/- 4.9 )",11.8,"(+/- 3.7 )",10.6,"(+/- 3.0 )",26.4,"(+/- 4.5 )",9.3,"(+/- 3.6 )",18.7,"(+/- 3.5 )",10.2,"(+/- 3.4 )",24.0,"(+/- 4.7 )",38.1,"(+/- 5.3 )",37.8,"(+/- 5.5 )",27.3,"(+/- 5.2 )",15.5,"(+/- 3.6 )",20.3,"(+/- 4.6 )",33.0,"(+/- 5.2 )",41.9,"(+/- 5.1 )",30.4,"(+/- 6.1 )",22.5,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",22.7,"(+/- 2.7 )",13.3,"(+/- 2.9 )",4.9,"(+/- 1.4 )",19.2,"(+/- 2.5 )",16.2,"(+/- 2.6 )",13.8,"(+/- 2.8 )",18.1,"(+/- 3.8 )",13.0,"(+/- 2.5 )",26.2,"(+/- 3.7 )",9.2,"(+/- 2.3 )",16.2,"(+/- 3.1 )",13.4,"(+/- 2.9 )",18.1,"(+/- 2.5 )",20.0,"(+/- 3.4 )",35.1,"(+/- 3.3 )",28.4,"(+/- 3.9 )",20.6,"(+/- 2.8 )",31.5,"(+/- 4.0 )",20.1,"(+/- 3.0 )",23.3,"(+/- 3.4 )",12.3,"(+/- 3.0 )",10.5,"(+/- 2.4 )",23.5,"(+/- 3.7 )",10.7,"(+/- 2.6 )",10.7,"(+/- 2.1 )",5.7,"(+/- 1.5 )",20.1,"(+/- 3.0 )",31.8,"(+/- 2.8 )",32.8,"(+/- 3.7 )",28.4,"(+/- 3.6 )",10.3,"(+/- 2.0 )",16.1,"(+/- 3.3 )",30.1,"(+/- 3.8 )",39.3,"(+/- 4.2 )",27.3,"(+/- 3.7 )",18.8,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",16.3,"(+/- 1.3 )",9.0,"(+/- 1.1 )",6.3,"(+/- 0.7 )",11.9,"(+/- 0.9 )",12.0,"(+/- 1.0 )",8.1,"(+/- 0.9 )",10.6,"(+/- 1.2 )",9.6,"(+/- 1.0 )",14.4,"(+/- 1.4 )",7.1,"(+/- 0.7 )",10.9,"(+/- 1.1 )",8.2,"(+/- 0.8 )",12.4,"(+/- 1.1 )",11.7,"(+/- 1.0 )",20.8,"(+/- 1.5 )",17.1,"(+/- 1.4 )",17.1,"(+/- 1.1 )",18.6,"(+/- 1.5 )",15.7,"(+/- 1.0 )",15.3,"(+/- 1.3 )",9.7,"(+/- 0.9 )",7.1,"(+/- 1.0 )",14.1,"(+/- 1.3 )",6.1,"(+/- 0.7 )",9.7,"(+/- 1.0 )",6.4,"(+/- 0.7 )",13.6,"(+/- 1.1 )",19.2,"(+/- 1.5 )",19.5,"(+/- 1.3 )",15.9,"(+/- 1.5 )",7.9,"(+/- 0.8 )",9.4,"(+/- 1.0 )",16.8,"(+/- 1.5 )",22.3,"(+/- 1.7 )",16.3,"(+/- 1.2 )",12.0,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.4,"(+/- 1.8 )",9.2,"(+/- 2.4 )",7.6,"(+/- 1.8 )",8.7,"(+/- 1.5 )",11.1,"(+/- 1.5 )",7.9,"(+/- 1.7 )",6.2,"(+/- 1.3 )",8.9,"(+/- 2.1 )",10.8,"(+/- 2.1 )",6.7,"(+/- 1.8 )",8.6,"(+/- 1.7 )",6.2,"(+/- 1.3 )",9.1,"(+/- 1.4 )",8.9,"(+/- 1.7 )",20.1,"(+/- 3.0 )",19.8,"(+/- 2.9 )",8.9,"(+/- 1.5 )",18.8,"(+/- 3.2 )",10.5,"(+/- 1.5 )",13.3,"(+/- 1.9 )",6.8,"(+/- 1.3 )",6.1,"(+/- 1.9 )",16.5,"(+/- 2.6 )",7.0,"(+/- 1.5 )",8.4,"(+/- 1.8 )",3.8,"(+/- 1.0 )",9.6,"(+/- 1.6 )",19.0,"(+/- 2.8 )",18.5,"(+/- 3.5 )",16.7,"(+/- 2.5 )",5.8,"(+/- 1.4 )",6.3,"(+/- 1.5 )",17.7,"(+/- 2.8 )",23.9,"(+/- 3.2 )",15.5,"(+/- 2.7 )",9.3,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",15.3,"(+/- 1.7 )",8.5,"(+/- 1.4 )",4.6,"(+/- 0.9 )",11.1,"(+/- 1.2 )",11.9,"(+/- 1.4 )",8.8,"(+/- 1.5 )",11.6,"(+/- 2.0 )",8.2,"(+/- 1.1 )",16.7,"(+/- 1.9 )",5.8,"(+/- 1.1 )",10.2,"(+/- 1.5 )",7.4,"(+/- 1.2 )",11.4,"(+/- 1.3 )",11.7,"(+/- 1.5 )",24.4,"(+/- 1.9 )",18.8,"(+/- 2.1 )",13.6,"(+/- 1.4 )",21.4,"(+/- 2.3 )",12.7,"(+/- 1.4 )",15.3,"(+/- 1.8 )",6.7,"(+/- 1.1 )",7.1,"(+/- 1.2 )",15.8,"(+/- 1.8 )",6.0,"(+/- 1.2 )",8.4,"(+/- 1.2 )",4.2,"(+/- 0.8 )",12.7,"(+/- 1.6 )",22.9,"(+/- 2.0 )",23.3,"(+/- 2.1 )",17.5,"(+/- 2.0 )",7.1,"(+/- 1.1 )",10.0,"(+/- 1.7 )",20.0,"(+/- 2.3 )",26.3,"(+/- 2.3 )",17.0,"(+/- 2.0 )",11.6,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",33.8,"(+/- 2.7 )",18.4,"(+/- 2.6 )",17.0,"(+/- 2.6 )",26.4,"(+/- 2.3 )",23.8,"(+/- 2.0 )",18.4,"(+/- 2.3 )",19.8,"(+/- 2.7 )",26.3,"(+/- 3.4 )",24.2,"(+/- 2.3 )",17.9,"(+/- 2.0 )",24.2,"(+/- 2.4 )",20.0,"(+/- 2.1 )",26.4,"(+/- 2.2 )",24.4,"(+/- 2.2 )",38.2,"(+/- 3.7 )",30.6,"(+/- 2.7 )",34.5,"(+/- 2.2 )",26.7,"(+/- 2.4 )",35.4,"(+/- 2.7 )",28.5,"(+/- 2.7 )",21.4,"(+/- 2.1 )",18.1,"(+/- 3.2 )",27.8,"(+/- 3.0 )",12.0,"(+/- 1.7 )",21.7,"(+/- 2.0 )",21.7,"(+/- 2.4 )",30.0,"(+/- 2.4 )",30.6,"(+/- 2.9 )",30.0,"(+/- 3.3 )",27.6,"(+/- 2.4 )",19.0,"(+/- 2.3 )",16.1,"(+/- 1.7 )",28.6,"(+/- 2.2 )",42.0,"(+/- 3.3 )",28.4,"(+/- 2.4 )",27.0,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",185574,"(+/- 4845 )",192898,"(+/- 10357 )",247630,"(+/- 4710 )",187278,"(+/- 5270 )",201749,"(+/- 7567 )",225402,"(+/- 8582 )",221190,"(+/- 13550 )",230686,"(+/- 7373 )",218052,"(+/- 13445 )",227819,"(+/- 9985 )",183929,"(+/- 4866 )",212526,"(+/- 8975 )",181214,"(+/- 5103 )",189916,"(+/- 5331 )",239830,"(+/- 9096 )",224710,"(+/- 5656 )",233005,"(+/- 6203 )",219714,"(+/- 11640 )",207083,"(+/- 4675 )",225581,"(+/- 8379 )",196344,"(+/- 8837 )",262799,"(+/- 9100 )",216483,"(+/- 10002 )",202898,"(+/- 8128 )",203113,"(+/- 10529 )",256053,"(+/- 5691 )",182923,"(+/- 4073 )",219560,"(+/- 8000 )",224596,"(+/- 11834 )",216143,"(+/- 10077 )",232307,"(+/- 6342 )",188518,"(+/- 8315 )",206124,"(+/- 9193 )",210340,"(+/- 7405 )",226666,"(+/- 11847 )",178510,"(+/- 7505 )"
Education,"School Enrollment","Nursery school, preschool",10250,"(+/- 1678 )",10941,"(+/- 2331 )",15781,"(+/- 2567 )",10154,"(+/- 1691 )",12919,"(+/- 1986 )",11154,"(+/- 2145 )",13440,"(+/- 2539 )",16471,"(+/- 2952 )",10154,"(+/- 2299 )",14282,"(+/- 2300 )",12037,"(+/- 2025 )",16178,"(+/- 2411 )",10420,"(+/- 1609 )",9359,"(+/- 1819 )",14567,"(+/- 2545 )",8552,"(+/- 1902 )",11400,"(+/- 1894 )",13596,"(+/- 2720 )",10012,"(+/- 1563 )",10099,"(+/- 2043 )",12249,"(+/- 2116 )",17213,"(+/- 2528 )",14212,"(+/- 2387 )",14088,"(+/- 2469 )",13890,"(+/- 2092 )",15043,"(+/- 2160 )",8901,"(+/- 1701 )",12285,"(+/- 2157 )",12808,"(+/- 2486 )",11996,"(+/- 2219 )",14788,"(+/- 2279 )",9830,"(+/- 1624 )",14166,"(+/- 2292 )",13546,"(+/- 2688 )",15071,"(+/- 2710 )",11265,"(+/- 1883 )"
Education,"School Enrollment",Kindergarten,9258,"(+/- 1855 )",10418,"(+/- 2055 )",11773,"(+/- 1796 )",11205,"(+/- 1503 )",10627,"(+/- 2077 )",9657,"(+/- 1596 )",12417,"(+/- 2182 )",11628,"(+/- 1924 )",10837,"(+/- 2408 )",12363,"(+/- 2028 )",11757,"(+/- 1884 )",9830,"(+/- 1759 )",10230,"(+/- 1561 )",10368,"(+/- 1475 )",13031,"(+/- 2430 )",10415,"(+/- 1696 )",10080,"(+/- 1941 )",10125,"(+/- 1646 )",9442,"(+/- 1324 )",11707,"(+/- 2194 )",9126,"(+/- 1867 )",12746,"(+/- 2216 )",14179,"(+/- 2357 )",10362,"(+/- 1637 )",8893,"(+/- 1441 )",11888,"(+/- 1547 )",10325,"(+/- 1709 )",14941,"(+/- 1970 )",11832,"(+/- 1960 )",10129,"(+/- 1534 )",10292,"(+/- 1694 )",7147,"(+/- 1479 )",13316,"(+/- 2002 )",11083,"(+/- 2033 )",11811,"(+/- 2109 )",10170,"(+/- 1984 )"
Education,"School Enrollment","Elementary school (grades 1-8)",81831,"(+/- 2648 )",79117,"(+/- 6651 )",107712,"(+/- 3159 )",85015,"(+/- 2908 )",97234,"(+/- 5719 )",94114,"(+/- 5692 )",99981,"(+/- 8938 )",100088,"(+/- 5516 )",93117,"(+/- 7352 )",100975,"(+/- 6243 )",84809,"(+/- 3589 )",89760,"(+/- 5495 )",79073,"(+/- 3423 )",82933,"(+/- 3535 )",111737,"(+/- 5372 )",92942,"(+/- 3290 )",75182,"(+/- 3620 )",95257,"(+/- 7331 )",85329,"(+/- 3287 )",86729,"(+/- 6121 )",73441,"(+/- 5191 )",111971,"(+/- 5212 )",94945,"(+/- 5791 )",86159,"(+/- 5637 )",84418,"(+/- 4848 )",108703,"(+/- 4346 )",84394,"(+/- 3376 )",99335,"(+/- 4344 )",105924,"(+/- 7401 )",98952,"(+/- 6625 )",104811,"(+/- 3315 )",74709,"(+/- 6113 )",102671,"(+/- 6654 )",95686,"(+/- 5028 )",95271,"(+/- 7197 )",77917,"(+/- 4742 )"
Education,"School Enrollment","High school (grades 9-12)",40451,"(+/- 2398 )",40165,"(+/- 4445 )",56126,"(+/- 2589 )",42320,"(+/- 2485 )",46080,"(+/- 3297 )",49745,"(+/- 4436 )",46084,"(+/- 5158 )",54266,"(+/- 4630 )",43595,"(+/- 4629 )",43882,"(+/- 4460 )",41727,"(+/- 2816 )",45467,"(+/- 3693 )",41275,"(+/- 2100 )",42195,"(+/- 2672 )",55222,"(+/- 3714 )",47390,"(+/- 2943 )",37180,"(+/- 2699 )",44383,"(+/- 4640 )",39979,"(+/- 2613 )",44208,"(+/- 3688 )",35756,"(+/- 3666 )",58605,"(+/- 4460 )",50558,"(+/- 4627 )",45029,"(+/- 4056 )",39139,"(+/- 2611 )",52438,"(+/- 2955 )",43316,"(+/- 2657 )",52261,"(+/- 3709 )",54204,"(+/- 4404 )",46670,"(+/- 4182 )",51377,"(+/- 3190 )",40160,"(+/- 4178 )",47717,"(+/- 3942 )",48498,"(+/- 3317 )",47216,"(+/- 4776 )",43068,"(+/- 3749 )"
Education,"School Enrollment","College or graduate school",43784,"(+/- 3340 )",52257,"(+/- 5475 )",56238,"(+/- 3497 )",38584,"(+/- 3658 )",34889,"(+/- 4106 )",60732,"(+/- 5506 )",49268,"(+/- 4514 )",48233,"(+/- 5500 )",60349,"(+/- 7195 )",56317,"(+/- 4317 )",33599,"(+/- 3589 )",51291,"(+/- 4666 )",40216,"(+/- 3589 )",45061,"(+/- 4298 )",45273,"(+/- 5147 )",65411,"(+/- 4877 )",99163,"(+/- 4794 )",56353,"(+/- 4486 )",62321,"(+/- 3687 )",72838,"(+/- 5154 )",65772,"(+/- 5902 )",62264,"(+/- 5512 )",42589,"(+/- 4516 )",47260,"(+/- 3821 )",56773,"(+/- 7276 )",67981,"(+/- 3971 )",35987,"(+/- 3355 )",40738,"(+/- 3793 )",39828,"(+/- 4191 )",48396,"(+/- 4506 )",51039,"(+/- 4860 )",56672,"(+/- 4411 )",28254,"(+/- 3128 )",41527,"(+/- 3957 )",57297,"(+/- 4844 )",36090,"(+/- 3561 )"
Education,"Educational Attainment","Population 25 years and over",468207,"(+/- 4289 )",521883,"(+/- 14510 )",573618,"(+/- 4102 )",498585,"(+/- 4730 )",496068,"(+/- 7728 )",507404,"(+/- 11490 )",523635,"(+/- 13484 )",564548,"(+/- 8988 )",509618,"(+/- 15371 )",558562,"(+/- 13410 )",491893,"(+/- 4947 )",532139,"(+/- 11293 )",465814,"(+/- 4227 )",507391,"(+/- 4828 )",463329,"(+/- 6734 )",458170,"(+/- 4154 )",481171,"(+/- 8583 )",504310,"(+/- 16257 )",452606,"(+/- 3671 )",506043,"(+/- 12383 )",561102,"(+/- 11333 )",573355,"(+/- 9371 )",475238,"(+/- 12097 )",545327,"(+/- 8743 )",517988,"(+/- 9335 )",571321,"(+/- 7470 )",487264,"(+/- 4717 )",442987,"(+/- 7837 )",444535,"(+/- 16008 )",482285,"(+/- 10682 )",550002,"(+/- 3342 )",522376,"(+/- 10088 )",438243,"(+/- 12582 )",429080,"(+/- 6736 )",523640,"(+/- 14227 )",499609,"(+/- 10411 )"
Education,"Educational Attainment","Less than 9th grade",26822,"(+/- 2740 )",35845,"(+/- 5850 )",15952,"(+/- 3335 )",20969,"(+/- 2273 )",45653,"(+/- 4394 )",26155,"(+/- 3379 )",32643,"(+/- 4194 )",26657,"(+/- 3831 )",65379,"(+/- 6153 )",24697,"(+/- 3665 )",34874,"(+/- 3240 )",24286,"(+/- 3789 )",32224,"(+/- 3380 )",27487,"(+/- 2614 )",83486,"(+/- 5189 )",55474,"(+/- 3782 )",30860,"(+/- 3842 )",60872,"(+/- 7073 )",39069,"(+/- 3031 )",38867,"(+/- 4101 )",14729,"(+/- 2811 )",20576,"(+/- 2997 )",62064,"(+/- 4824 )",22972,"(+/- 3124 )",16167,"(+/- 2228 )",17983,"(+/- 3353 )",38472,"(+/- 3395 )",71647,"(+/- 4472 )",96924,"(+/- 7544 )",48277,"(+/- 4851 )",18990,"(+/- 3170 )",33985,"(+/- 4606 )",109682,"(+/- 6551 )",73809,"(+/- 4121 )",47591,"(+/- 4228 )",30865,"(+/- 4206 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",43280,"(+/- 3828 )",26173,"(+/- 3280 )",17609,"(+/- 2322 )",39959,"(+/- 3669 )",56239,"(+/- 4633 )",35963,"(+/- 4530 )",28042,"(+/- 4099 )",41837,"(+/- 4853 )",43923,"(+/- 4589 )",29045,"(+/- 3727 )",47342,"(+/- 4429 )",38596,"(+/- 3195 )",45328,"(+/- 3538 )",39991,"(+/- 4740 )",57000,"(+/- 5191 )",35799,"(+/- 4142 )",38465,"(+/- 4066 )",57963,"(+/- 5283 )",44537,"(+/- 2982 )",47859,"(+/- 5035 )",19988,"(+/- 2864 )",27535,"(+/- 3600 )",49691,"(+/- 4013 )",24533,"(+/- 3251 )",28945,"(+/- 3226 )",22598,"(+/- 3092 )",48327,"(+/- 3706 )",49770,"(+/- 4035 )",70242,"(+/- 5690 )",55390,"(+/- 5806 )",22291,"(+/- 3025 )",31754,"(+/- 2715 )",70004,"(+/- 4765 )",57579,"(+/- 4551 )",51551,"(+/- 4290 )",50871,"(+/- 4712 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",129922,"(+/- 6400 )",97199,"(+/- 7233 )",77784,"(+/- 5908 )",158426,"(+/- 5487 )",151694,"(+/- 7471 )",123329,"(+/- 7124 )",80753,"(+/- 5666 )",153905,"(+/- 7705 )",131068,"(+/- 8791 )",127834,"(+/- 7458 )",157751,"(+/- 6371 )",132782,"(+/- 7224 )",145731,"(+/- 5892 )",150315,"(+/- 6591 )",118358,"(+/- 6967 )",106163,"(+/- 6232 )",124687,"(+/- 7266 )",140639,"(+/- 9287 )",133070,"(+/- 6449 )",135226,"(+/- 7307 )",102894,"(+/- 6965 )",92266,"(+/- 6091 )",131585,"(+/- 6403 )",102225,"(+/- 5986 )",116678,"(+/- 5925 )",98465,"(+/- 5898 )",149556,"(+/- 5831 )",132063,"(+/- 5500 )",131005,"(+/- 7703 )",139846,"(+/- 7816 )",126346,"(+/- 5885 )",88272,"(+/- 5215 )",130648,"(+/- 6699 )",123688,"(+/- 6862 )",150951,"(+/- 8489 )",159552,"(+/- 6995 )"
Education,"Educational Attainment","Some college, no degree",128764,"(+/- 5692 )",106714,"(+/- 6941 )",110659,"(+/- 5786 )",122044,"(+/- 4657 )",110717,"(+/- 5263 )",130457,"(+/- 7484 )",95025,"(+/- 6673 )",129345,"(+/- 7013 )",105460,"(+/- 8584 )",109536,"(+/- 6965 )",114863,"(+/- 5353 )",124348,"(+/- 6976 )",111148,"(+/- 4815 )",125646,"(+/- 6164 )",90008,"(+/- 5468 )",111008,"(+/- 5688 )",101961,"(+/- 4889 )",101297,"(+/- 6889 )",103218,"(+/- 5615 )",115595,"(+/- 6772 )",124409,"(+/- 5870 )",111228,"(+/- 7347 )",94110,"(+/- 5870 )",109632,"(+/- 6016 )",112298,"(+/- 6056 )",123659,"(+/- 5877 )",113613,"(+/- 5553 )",79873,"(+/- 4048 )",75740,"(+/- 5716 )",109613,"(+/- 7256 )",132074,"(+/- 6544 )",108084,"(+/- 7127 )",68473,"(+/- 4996 )",76279,"(+/- 4298 )",116866,"(+/- 6105 )",128437,"(+/- 7689 )"
Education,"Educational Attainment","Associate's degree",41855,"(+/- 3761 )",40309,"(+/- 4388 )",42085,"(+/- 4037 )",41509,"(+/- 3787 )",35098,"(+/- 3325 )",43869,"(+/- 4433 )",31258,"(+/- 4469 )",40034,"(+/- 4405 )",33777,"(+/- 3860 )",42939,"(+/- 4474 )",34829,"(+/- 2950 )",44028,"(+/- 4444 )",37215,"(+/- 3085 )",40546,"(+/- 3770 )",25416,"(+/- 3193 )",37114,"(+/- 4226 )",39015,"(+/- 4459 )",29866,"(+/- 4308 )",29122,"(+/- 2897 )",44185,"(+/- 4666 )",37744,"(+/- 3845 )",51670,"(+/- 5740 )",31414,"(+/- 3609 )",33438,"(+/- 2813 )",40080,"(+/- 3709 )",49470,"(+/- 5486 )",37448,"(+/- 3222 )",28974,"(+/- 2903 )",22742,"(+/- 3488 )",28873,"(+/- 3075 )",51562,"(+/- 3700 )",34720,"(+/- 3094 )",15941,"(+/- 2166 )",28500,"(+/- 2686 )",35364,"(+/- 3581 )",41948,"(+/- 4270 )"
Education,"Educational Attainment","Bachelor's degree",67293,"(+/- 4398 )",140583,"(+/- 8376 )",196693,"(+/- 6873 )",77246,"(+/- 4398 )",62625,"(+/- 3933 )",97093,"(+/- 6266 )",150044,"(+/- 7933 )",117313,"(+/- 7077 )",83395,"(+/- 6753 )",147913,"(+/- 7132 )",71280,"(+/- 3828 )",115879,"(+/- 5687 )",66740,"(+/- 4538 )",81426,"(+/- 5415 )",62152,"(+/- 5086 )",72730,"(+/- 5297 )",95018,"(+/- 5089 )",70839,"(+/- 5050 )",67842,"(+/- 4030 )",80895,"(+/- 5735 )",162515,"(+/- 6025 )",165234,"(+/- 9068 )",73665,"(+/- 4895 )",161339,"(+/- 6285 )",128004,"(+/- 6875 )",172391,"(+/- 6912 )",66462,"(+/- 4313 )",56162,"(+/- 4810 )",33708,"(+/- 4165 )",66472,"(+/- 4122 )",132241,"(+/- 5950 )",142848,"(+/- 6769 )",31985,"(+/- 2905 )",48991,"(+/- 4678 )",82009,"(+/- 5053 )",61286,"(+/- 4963 )"
Education,"Educational Attainment","Graduate or professional degree",30271,"(+/- 3223 )",75060,"(+/- 6055 )",112836,"(+/- 5577 )",38432,"(+/- 3964 )",34042,"(+/- 3156 )",50538,"(+/- 3618 )",105870,"(+/- 5759 )",55457,"(+/- 4449 )",46616,"(+/- 4397 )",76598,"(+/- 4205 )",30954,"(+/- 3058 )",52220,"(+/- 3940 )",27428,"(+/- 2539 )",41980,"(+/- 4348 )",26909,"(+/- 3339 )",39882,"(+/- 3710 )",51165,"(+/- 3480 )",42834,"(+/- 4090 )",35748,"(+/- 3320 )",43416,"(+/- 3482 )",98823,"(+/- 4226 )",104846,"(+/- 7683 )",32709,"(+/- 3232 )",91188,"(+/- 5012 )",75816,"(+/- 3983 )",86755,"(+/- 4523 )",33386,"(+/- 3010 )",24498,"(+/- 2692 )",14174,"(+/- 2210 )",33814,"(+/- 2844 )",66498,"(+/- 4259 )",82713,"(+/- 4159 )",11510,"(+/- 1808 )",20234,"(+/- 2355 )",39308,"(+/- 3841 )",26650,"(+/- 2735 )"
Education,"Educational Attainment","Percent high school graduate or higher",85.0,"(+/- 0.9 )",88.1,"(+/- 1.3 )",94.1,"(+/- 0.7 )",87.8,"(+/- 0.9 )",79.5,"(+/- 1.2 )",87.8,"(+/- 1.0 )",88.4,"(+/- 1.1 )",87.9,"(+/- 1.1 )",78.6,"(+/- 1.4 )",90.4,"(+/- 0.9 )",83.3,"(+/- 1.0 )",88.2,"(+/- 0.9 )",83.4,"(+/- 1.0 )",86.7,"(+/- 1.0 )",69.7,"(+/- 1.3 )",80.1,"(+/- 1.2 )",85.6,"(+/- 1.1 )",76.4,"(+/- 1.6 )",81.5,"(+/- 0.9 )",82.9,"(+/- 1.2 )",93.8,"(+/- 0.8 )",91.6,"(+/- 0.8 )",76.5,"(+/- 1.2 )",91.3,"(+/- 0.9 )",91.3,"(+/- 0.8 )",92.9,"(+/- 0.7 )",82.2,"(+/- 1.0 )",72.6,"(+/- 1.2 )",62.4,"(+/- 1.9 )",78.5,"(+/- 1.6 )",92.5,"(+/- 0.8 )",87.4,"(+/- 1.1 )",59.0,"(+/- 1.4 )",69.4,"(+/- 1.5 )",81.1,"(+/- 1.1 )",83.6,"(+/- 1.2 )"
